@relation weka_TestData_driverHabit_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute distance numeric
@attribute second numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
344,57.6,0,-4.8,-7.200002,94.999997,13,cluster3
345,48.6,0,-4.05,-7.200002,78.749998,13,cluster3
346,61.199997,1.8,-3.221052,-7.200002,191.499995,20,cluster3
347,61.199997,22.5,-2.976923,-7.200002,171.499996,14,cluster3
348,43.199997,0,-2.7,-7.200002,99.749997,17,cluster3
349,24.3,12.599999,-5.850001,-7.200001,15.75,3,cluster0
350,60.3,0,-5.025,-7.200001,114.499999,13,cluster3
351,24.3,10.799999,-4.5,-7.200001,20.249999,4,cluster0
352,39.6,3.6,-4.5,-7.200001,47.499999,9,cluster3
353,50.399998,0,-4.2,-7.200001,88.999998,13,cluster3
354,47.699997,9.9,-4.2,-7.200001,81.499998,10,cluster3
355,37.8,0,-3.78,-7.200001,64.249998,11,cluster3
356,29.699999,0,-3.7125,-7.200001,38.749999,9,cluster3
357,46.8,0,-3.6,-7.200001,101.999999,14,cluster3
358,68.4,8.099999,-3.257143,-7.200001,229.999999,22,cluster3
359,28.8,4.5,-3.0375,-7.200001,46.749999,9,cluster3
360,33.299999,26.099998,-7.200001,-7.200001,16.499999,2,cluster2
361,40.5,0,-4.5,-7.200001,62.749999,10,cluster3
362,18.9,5.4,-2.25,-7.200001,23.5,7,cluster0
363,54.899998,32.399998,-5.625,-7.200001,62.499998,5,cluster3
364,60.299999,0,-4.638461,-7.200001,120.249997,14,cluster3
365,40.5,0,-4.5,-7.200001,55.749998,10,cluster3
366,48.599998,9,-3.6,-7.200001,107.749995,12,cluster3
367,36.899998,0,-3.075,-7.200001,55.499998,13,cluster3
368,57.599998,23.4,-2.85,-7.200001,135.999996,13,cluster3
369,41.399998,0,-4.6,-7.2,55.999999,10,cluster3
370,39.6,0,-4.4,-7.2,58.749998,10,cluster3
371,17.1,0,-3.42,-7.2,12.25,6,cluster0
372,19.8,0.9,-3.15,-7.2,18.5,7,cluster0
373,15.299999,6.3,-3,-7.2,13.75,4,cluster0
374,23.4,5.4,-4.5,-7.2,18.75,5,cluster0
375,11.7,0.9,-2.16,-7.2,12.25,6,cluster0
376,14.4,7.2,-7.2,-7.2,6,2,cluster0
377,37.8,15.299999,-5.625,-7.2,37.499999,5,cluster3
378,29.699999,8.099999,-5.4,-7.2,26.249999,5,cluster3
379,36.899998,23.4,-4.499999,-7.2,33.749999,4,cluster3
380,57.6,0,-4.430769,-7.2,111.249998,14,cluster3
381,47.7,21.6,-4.35,-7.2,60.25,7,cluster3
382,44.1,27,-4.275,-7.2,47.25,5,cluster3
383,28.8,11.7,-4.275,-7.2,30.499999,5,cluster3
384,17.1,0,-4.275,-7.2,9.75,5,cluster0
385,32.399998,16.199999,-4.05,-7.2,33.999999,5,cluster3
386,36,0,-4,-7.2,50.999999,10,cluster3
387,39.6,0,-3.96,-7.2,64,11,cluster3
388,34.2,22.5,-3.9,-7.2,29.75,4,cluster3
389,20.7,5.4,-3.825,-7.2,18.25,5,cluster0
390,15.299999,0,-3.825,-7.2,14,5,cluster0
391,28.8,0,-3.6,-7.2,31.999999,9,cluster3
392,36.899998,18.9,-3.6,-7.2,47.499999,6,cluster3
393,57.6,0.9,-3.54375,-7.2,162.5,17,cluster3
394,37.8,6.3,-3.5,-7.2,61.999998,10,cluster3
395,28.8,15.299999,-3.375,-7.2,28.249999,5,cluster3
396,14.4,4.5,-3.3,-7.2,12.25,4,cluster0
397,66.6,4.5,-3.171429,-7.2,222.499997,22,cluster3
398,17.1,2.7,-2.88,-7.2,17.749999,6,cluster0
399,17.1,3.6,-4.5,-7.2,10.75,4,cluster0
400,33.299999,2.7,-4.371428,-7.2,43.249999,8,cluster3
401,20.699999,0,-4.14,-7.2,16.249999,6,cluster0
402,36,0,-3,-7.2,65.499998,13,cluster3
403,55.799999,0.9,-2.936842,-7.2,180.999996,20,cluster3
404,30.599998,8.099999,-3.214286,-7.2,44.749999,8,cluster3
405,7.2,0,-7.2,-7.2,2,2,cluster0
406,13.5,5.4,-4.05,-7.199999,8.75,3,cluster0
407,25.199999,0,-2.8,-7.199999,41.749999,10,cluster3
408,15.299999,0,-2.185714,-7.199999,19.249999,8,cluster0
409,32.399998,21.599998,-5.4,-7.199999,21.999999,3,cluster3
410,20.699999,4.5,-5.4,-7.199999,12.75,4,cluster0
411,29.699999,5.4,-4.05,-7.199999,30.749999,7,cluster3
