@relation weka_TrainingData_driverHabit_jee_df_clustered

@attribute Instance_number numeric
@attribute 56.270603 numeric
@attribute 0 numeric
@attribute -28.1353015 numeric
@attribute -46.072006 numeric
@attribute 28.4285025 numeric
@attribute 3 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
287,59.515102,56.00993,-3.505172,-3.505172,32.090287,2,cluster2
288,68.49609,63.870087,-2.313001,-3.504123,55.483441,3,cluster2
289,45.351437,41.87426,-3.477177,-3.477177,24.22936,2,cluster3
290,38.207478,34.73781,-1.734834,-3.46413,30.87423,3,cluster2
291,59.649998,56.199997,-3.450001,-3.450001,32.180554,2,cluster2
292,128.08722,124.65353,-3.43369,-3.43369,70.205764,2,cluster5
293,40.42736,36.9945,-3.43286,-3.43286,21.506072,2,cluster3
294,99.8017,96.37399,-3.42771,-3.42771,54.493247,2,cluster5
295,42.820652,32.18768,-1.772162,-3.397388,71.504114,7,cluster2
296,95.57395,92.10184,-1.736055,-3.39724,78.659686,3,cluster5
297,119.86853,108.97895,-2.177916,-3.39117,191.771724,6,cluster4
298,38.880157,34.485928,-1.464743,-3.382816,40.514353,4,cluster2
299,93.35826,87.88728,-2.73549,-3.37313,75.696097,3,cluster5
300,26.45597,23.08442,-3.37155,-3.37155,13.761219,2,cluster3
301,42.069998,37.620001,-2.224998,-3.369997,32.886111,3,cluster2
302,62.012314,58.104527,-1.953893,-3.350744,49.66067,3,cluster2
303,114.147194,110.797325,-3.349869,-3.349869,62.484589,2,cluster5
304,104.30116,98.321526,-1.993211,-3.34983,111.81076,4,cluster4
305,70.51038,66.98968,-1.76035,-3.33728,57.729728,3,cluster2
306,97.46114,91.19793,-1.565802,-3.33342,131.120923,5,cluster4
307,54.899998,51.599999,-3.299998,-3.299998,29.583332,2,cluster3
308,49.684597,46.38775,-3.296847,-3.296847,26.686763,2,cluster3
309,106.12866,100.20967,-1.972997,-3.28797,114.122625,4,cluster4
310,113.63632,108.929756,-1.568855,-3.286624,124.228637,4,cluster4
311,11.309999,4.5,-1.135,-3.279999,16.399999,7,cluster0
312,48.673523,45.41388,-3.259643,-3.259643,26.13539,2,cluster3
313,113.92376,108.2962,-1.875853,-3.251465,122.896215,4,cluster4
314,85.13927,77.37519,-1.94102,-3.23838,113.089547,5,cluster2
315,106.3269,103.09146,-3.23544,-3.23544,58.171767,2,cluster5
316,111.33264,108.098785,-3.233855,-3.233855,60.953174,2,cluster5
317,84.87274,79.26244,-1.8701,-3.233084,90.631746,4,cluster2
318,22.84,19.619999,-3.220001,-3.220001,11.794444,2,cluster3
319,100.83688,97.03203,-1.902425,-3.18949,82.802897,3,cluster5
320,43.854725,40.66796,-3.186765,-3.186765,23.478524,2,cluster3
321,111.06619,107.88398,-3.18221,-3.18221,60.819492,2,cluster5
322,42.779998,39.27,-1.754999,-3.18,33.791666,3,cluster2
323,98.23911,94.9391,-1.650005,-3.174975,80.914524,3,cluster5
324,46.235256,40.236378,-0.74986,-3.169098,112.323797,9,cluster2
