@relation weka_habit_test_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute dis numeric
@attribute sec numeric
@attribute cle numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
324,43.199997,0.7,-3.9,-13.699999,43.888888,10,12.7831,cluster1
325,16.199999,4.5,-3.9,-8.099999,13.499999,4,4.678331,cluster1
326,63,0.9,-3.88125,-9.900001,181.499996,17,7.827002,cluster0
327,61.199997,22.5,-3.87,-6.3,124.999996,11,8.488173,cluster0
328,27,0,-3.857143,-6.3,28.75,8,17.368662,cluster5
329,72.9,3.6,-3.85,-9,232.249996,19,7.422409,cluster0
330,57.6,0,-3.84,-13.499998,143.749997,16,5.08,cluster5
331,20.7,5.4,-3.825,-7.2,18.25,5,4.044586,cluster1
332,54,38.7,-3.825,-9,66.249999,5,18.809381,cluster3
333,45.899998,0,-3.825,-13.499999,103.749998,13,4.980238,cluster5
334,26.099998,10.799999,-3.825,-7.199999,25.249999,5,5.498167,cluster1
335,15.299999,0,-3.825,-9,10,5,3.981395,cluster2
336,15.299999,0,-3.825,-7.2,14,5,27.608696,cluster2
337,15.299999,0,-3.825,-9.9,14.75,5,7.470588,cluster2
338,32.399998,17.1,-3.825,-6.300001,34.749999,5,10.285865,cluster3
339,70.2,36,-3.8,-5.4,144.5,10,6.684211,cluster0
340,23.4,4.5,-3.78,-6.300001,20,6,4.052663,cluster1
341,37.8,0,-3.78,-7.200001,64.249998,11,8.453253,cluster5
342,66.599998,28.799999,-3.78,-6.299999,145.499997,11,17.638889,cluster0
343,60.3,0,-3.76875,-7.199999,146.999998,17,4.373641,cluster5
344,22.5,0,-3.75,-6.299999,20.499999,7,13.435667,cluster2
345,39.6,17.1,-3.75,-6.3,50.75,7,3.862862,cluster3
346,24.3,1.8,-3.75,-6.299999,27,7,12.064232,cluster1
347,38.7,12.599999,-3.728572,-8.1,60.749998,8,8.664181,cluster3
348,26.099998,0,-3.728571,-9.000001,24.499999,8,25.4,cluster5
349,29.699999,0,-3.7125,-7.200001,38.749999,9,4.10166,cluster5
350,32.399998,2.7,-3.7125,-8.100001,45.249999,9,4.256287,cluster1
351,54,20.699999,-3.7,-6.3,100.749997,10,3.479696,cluster0
352,67.5,34.200001,-3.7,-9.900002,148.749996,10,12.9065,cluster0
353,36.899998,0,-3.69,-8.1,42.999999,11,6.312269,cluster5
354,41.399998,4.5,-3.69,-5.400002,61.499998,11,3.779762,cluster0
355,44.1,0,-3.675,-18.100001,73.416666,13,8.438363,cluster5
356,54.899998,0,-3.66,-20.699999,162.499995,16,5.803821,cluster5
357,62.1,0,-3.652941,-9,197.249997,18,4.907346,cluster5
358,69.299995,3.6,-3.647368,-9.9,234.499993,20,3.567416,cluster0
